,English,Chinese,SimplifiedChinese,Android 沒有用到的 (Y)
IMAGE_NOT_FOUND,Image not found,找不到圖片,找不到图片,
CONTENT_HINT,Type something,請輸入內容,请输入内容,
CONTENT_UNCHANGED,Content unchanged,內容未改變,内容未改变,
KEYWORD_NOT_FOUND,Keyword not found,找不到關鍵字,找不到关键字,
NET_ERROR2,"Network disconnected, try again later",網絡異常，請稍後再試,网络异常，请稍后再试,
CONTENT_LIMIT,The text you enter must be between 0 and 500.,您輸入的文本長度必須在0~500之間,您输入的文本长度必须在0~500之间,
NET_ERROR3,"No network connection, please turn on the network and try again",無網絡連接，請開啟網絡後重試,无网络连接，请开启网络后重试,
LOADING_FAILED,Loading failed...,好尷尬...加載失敗啦...,好尴尬...加载失败啦...,
EMPTY1,"Opps, nothing here",噢...什麼也沒有,额...什么也没有,
EMPTY_SEARCH,"Oh, couldn't find anything",咦...什麼也找不到,咦...什么也搜不到耶,
VIDEO_LIMIT1,Video recording can't be less than 3s,視頻長度不可少於3秒,视频时长不可少于3秒,
VIDEO_LIMIT2,Video can't exceed 1 hours,視頻長度不可多於1小時,视频时长不可多于1小时,
NOT_SELECT_FILE,Didn't choose any file,沒有選擇文件,沒有选择到文件,
HOT,Hot,熱門,热门,Y
LAST,Latest,最新,最新,Y
VER,Version,版本信息,版本信息,Y
PRIVACY_POLICY,Privacy Policy,隱私政策,隐私政策,
TERMS_CONDITIONS,Terms and Conditions,用戶協議,用户协议,
FEEDBACK,Feedback,意見反饋,意见反馈,Y
USER,User,用户,用户,Y
TOPIC,Topic,話題,话题,Y
EMPTY3,You haven't joined any group,你竟然沒有加入過圈子\n快去加入幾個感興趣的\n圈子吧,你竟然没有加入过圈子\n快去加入几个感兴趣的\n圈子吧,Y
EMPTY4,You didn't upload any post,你的動態還是空的,你还没有动态哦,Y
EMPTY5,You didn't upload any post,你還沒有通知喔,你还没有通知哦,Y
EMPTY6,You haven't add any reminder yet/ ,你還沒有添加過提醒喔\n快去添加看看吧,你还没有添加过提醒哦\n快去添加看看吧,Y
HK852,852 HKSAR,"""+852 中國香港""","""+852 中国香港""",
EMPTY7,Haven't chatted with anyone/ Find people to chat,目前還沒有人聊過天\n找感興趣的人聊聊吧,目前还没有人聊过天\n找感兴趣的人聊聊吧,Y
GO_SEE,More,去看看,去看看,Y
SELECT_MEMBER,Please choose member,請選擇成員,请选择成员,Y
SHARE,Share,分享,分享,Y
WEBVIEW_ERROR1,Can't find the website,找不到網頁,找不到网页,Y
WEBVIEW_ERROR2,Can't open the website,無法打開網頁,网页无法打开,Y
LIKE_PEOPLE,People who liked,讚好的人,赞好的人,
AND,and,和,和,
ETC,etc,等%1$d人,等%1$d人,
LOGIN_ERROR,You haven't login,朋友\n你還沒登錄呢,朋友\n你还没登陆呢,
EMPTY8,Follow someone ,你居然還沒有對\n任何人感興趣,你居然还没有对\n任何人感兴趣,Y
DEL_POST_FALED,Failed to delete the post,貼文刪除失敗,贴文删除失败,
COMMENT_SUC,Comment successfully,評論成功,评论成功,Y
DEL_POST,Delete this post?,確定刪除貼文？,您确定要删除这条贴子吗,
DEL_COMMENT,Report this post?,確定刪除評論？,您确定要删除这条评论吗？,
REPORT_POST,Report this post?,確定舉報貼文？,您确定要举报这条贴子吗,
OPEN_FAILED,Failed to open,展開失敗,展开失败,
REPORT_POST_FAILED,Report success,舉報成功,举报成功,Y
REPORT_FAILED (重複了),Report failure,舉報失敗,举报失败,
CONTENT_HINT2,Enter the text,請輸入内容,请输入内容,Y
SEND_SUC,Post successfully,發佈成功,发布成功,
TOTAL2,Total %1$d results,共%1$d結果,共%1$d結果,Y
SEND_TIPS,Add at least one image or video,請至少加入一張圖片或視頻,请至少加入一张图片或视频,Y
UPLOAD_FAILED,Failed to upload,上傳失敗,上传失败,
UPLOAD_FSUC,Upload successfully,上傳成功,上传成功,Y
COMPRESS_FAILED,Failed to zip,壓縮失敗,压缩失败,
ENTER_CHAT,Join the chat room,進入聊天室,进入聊天,Y
GET_POST_FAILED,Unable to load the post,獲取貼文失敗,获取贴文失败,
GET_FAILED,Unable to load,讀取失敗,获取失败,Y
PROFILE_MY_CLOTHES,My Oufits,我的衣服,我的衣服,
PET_CLOTHES,Pet's Outfits,寵物衣服,宠物衣服,
LOGIN_ERROR2,Not logged in,未登錄,没登录...\n我可不知道你发过啥,
EMPTY_POST,No post,居然沒發過貼文,居然没法过贴文...,
SENT_NOW,Post now,馬上發佈,马上发布,Y
GET_LOCATION_FAILED,Failed to get the address,獲取地址失敗,获取地址失败,Y
EMPTY_POST2,He didn't post anything,他居然沒發過任何貼文,他居然没发过任何贴子,Y
COMMING_SOON,Coming soon ,即將推出,即将推出,
Y_M,%1$s年%2$s月,%1$s年%2$s月,%1$s年%2$s月,
CONTENT_HINT3,Input content and time,請輸入内容和時間,请输入内容和时间,Y
OPEND,Opened,已開啓,已开启,Y
AGE,%1$d years old,%1$d歲,%1$d岁,
AGE_MONTH, months,個月,个月,
ONE_MONTH,1 month,1個月,1个月,
DEL_COMMENT_FAILED,Failed to delete the comment ,評論刪除失敗,评论删除失败,
EMPTY_COMMENT,No comment on the post yet,成為第一個評論的人,还没有人评论他的贴文,
COMMEN_CONFIRM,Confirm,確定,确定,
EMPTY_TIPS,No display if the content is empty,沒有内容,没有内容,
VCODE_TIPS1,Repeatable after %1$d seconds,%1$d秒後可重複,%1$d秒后可重复,
GET_VCODE,Get verification code,獲取驗證碼,获取验证码,Y
YESTERDAY,Yesterday,昨天,昨天,Y
SCE_BEFORE,Seconds before,秒前,秒前,Y
MIN_BEFORE,Mintues before,分鐘前,分钟前,Y
HOUR_BEFORE,Hour before,小時前,小时前,Y
DAY_BEFORE,Day before,天前,天前,Y
MONTHS_BEFORE,Months before,月前,月前,Y
YEARS_BEFORE,Years before,年前,年前,Y
SUGGEST,Suggest,爲你推薦,为你推荐,Y
MALE,Handsome,帥哥,大帅哥,Y
FEMALE,Beauty,美女,大美女,Y
CHINA,China ,國内,国内,Y
INTERNATIONAL,International,國外,国外,Y
REMOINDER,Resevation reminder,預約提醒,预约提醒,Y
TAG,Tag,標籤,标签,
DO_WHAT,What to do?,做什麼？,要去干嘛？,
NAME,Name,名稱,名称,
LIKE_POST,Like post,對你的貼文讚好,对你的帖子点赞,
MY_PROFILE,My profile,我的檔案,我的档案,
SEE_ALL_MEMBERS,See all the members,查看全部群成員信息,查看全部群成员,
ENTER_GROUP_CHAT,Enter the group chat,進入群聊,进入群聊,Y
FOLLOWING,Following,已追蹤,已关注,
OWN,own,自己,自己,Y
SENT_POST_TIPS,Play with pets and post,帶寵物玩耍並發佈貼文,带宠物玩耍并发布帖子,Y
DO_TASK,Missions,做任務,做任务,
REMOINDER_BEFORE,Reminder,提前提醒,提前提醒,Y
DONE,Done,完成,完成,Y
STICKER,Sticker,貼圖,贴图,Y
NOTHING,Nothing,無,无,Y
END,End,結束,结束,Y
START,Start,開始,开始,Y
RELATED_USER,Related user,相關用戶,相关用户,
TOTAL0,Total 0 Results,共0條結果,共0条结果,Y
IF_ENTER_GROUP,Join the group chat?,是否進入聊天室？,是否进入群聊？,
TOTAL_PIC,Related images,相關照片共%1$d張,相关照片共%1$d张,
GET_ALBUM_FAILED,Failed to create the album,製作相冊失敗,获取相册失败,
lang,en,hk,cn,
register_now_underline,<u>Register Now</u>,<u>馬上註冊</u>,<u>马上注册</u>,Y
prev,<![CDATA[<]]>,<![CDATA[<]]>,<![CDATA[<]]>,
next,<![CDATA[>]]>,<![CDATA[>]]>,<![CDATA[>]]>,
camera_enter_text,type what you want to add,輸入您想要加入的文字,输入您想要加入的文字,
chat_permission1,You are not authorized,您未授權,您未授权,
chat_permission2,Please open this permission in the permission management category,請在權限管理中開啓,"权限, 请在权限管理中开启此权限。",
chat_reply,Quote,引用,引用,
group_modify_owner,be new manage,成爲新管理員,成为新管理员,
group_invite_by_owner,You are invited to join the group,您被邀請進入群組,您被邀请进入群聊,
personal_details,Archives of others,他人檔案,他人档案,
personal_sign,Personal signature,個人簽名,个人签名,
unit_kg,(kg),(kg),(kg),
recent_msg,new message,最新訊息,最近消息,Y
tv_play,to play,玩玩,玩玩,
content_back,pack up,收起...,收起...,
play,play,遊玩,游玩,
cosmetology,Cosmetology,美容,美容,
foster_care,foster,寄養,寄养,
vaccine,Vaccinate,注射疫苗,打疫苗,
train,train,訓練,训练,
model,modelling,造型,造型,
search_hash_tag,search topic,尋找話題...,搜索话题…,
user_name_not_null_tip,name must not be empty,用戶名不能為空,用户名不能为空,
add_success,add success,添加成功,添加成功,
add_fail,add failed,添加失敗,添加失败,
not_bind,Unbound,未綁定,未绑定,
facebook_number,Facebook,Facebook,Facebook,
wechat_number,WeChat,WeChat,WeChat,
binding_fail,binding failed,綁定失敗,绑定失败,
please_try_again,please try later,請稍後重試,请稍后重试,
binding_success,binding sucess,綁定成功,绑定成功,
commit_success,commit success,提交成功,提交成功,
commit_fail,commit failed,提交失敗,提交失败,
get_product_fail,get product failed,獲取戰利品失敗,获取战利品失败,
user_not_login,"user not login,please login first",用戶暫未登錄，請先登錄,"用户暂未登录,请先登录",
to_her,give to her,給牠,给她,Y
to_him,give to him,給牠,给他,Y
login_out,log out,退出賬號,退出账户,Y
update_phone,update phone,修改手機號,修改手机号,
send_success,send success,發送成功,发送成功,
please_input_regular_phone,please input regular phone,請輸入正確的手機號碼,请输入正确格式的手机号,
please_input_the_same_phone,please input the same phone number,請輸入與綁定手機號一致的號碼,请输入与绑定手机号一致的号码,
user_not_binding_phone,You have not bounded your phone number yet.,你暫未綁定手機號，請先綁定,"你暂未绑定手机号,请先绑定",
owoh,OwOh,喔噢,喔噢,
--------------------------filters,Original ,原始,原始,
--------------------------filters,Soft,軟化,软化,
--------------------------filters,B/W,黑白,黑白,
--------------------------filters,Classic,經典,经典,
--------------------------filters,Glamorous,華麗,华丽,
--------------------------filters,Lomo,復古,复古,
--------------------------filters,Elegent,優雅,优雅,
--------------------------filters,Movie,電影,电影,
--------------------------filters,Memory,回憶,回忆,
--------------------------filters,Yogurt,乳酪,优格,
--------------------------filters,Year,流年,流年,
--------------------------filters,Shine,發光,发光,
--------------------------filters,Mosaic,馬賽克,马赛克,
---------------------group_tabs,Hot,熱門,热门,
---------------------group_tabs,New,最新,最新,
---------------------search_list,User,用戶,用户,
---------------------search_list,Topic,話題,话题,
----------------------setting_home_list,Account Settings,賬戶設置,账户设置,
----------------------setting_home_list,Message Settings,消息設置,消息设置,
----------------------setting_home_list,System Setup,系統設置,系统设置,
----------------------setting_home_list,Version Information,版本信息,版本设置,
----------------------setting_home_list,Privacy Policy,隱私政策,隐私政策,
----------------------setting_home_list,User Agreement,用戶協議,用户协议,
----------------------setting_home_list,Feedback,意見反饋,意见反馈,
PLEASE_SELECT_PET_CLOTHES,Choose clothes for your pets,請選擇寵物衣服,请选择宠物衣服,
MY_CLOTHES,My Clothes,我的衣服,我的衣服,Y
PLEASE_SELECT_PERSONAL_CLOTHES,Choose clothes for yourself,請選擇用戶衣服,请选择用户衣服,
PERSONAL_FORGET_SET_DATA,Oops.. Seem like someone forget to fill it..,主人唔記得咗寫嚄,主人忘记填了哦,
PLEASE_SELECT_PET_TYPE,Please choose which kinds of pet you have,請先選擇寵物種類,请先选择宠物种类,
ACHIEVEMENT_PROG_FINISH,Finished,已達成,已完成,
ACHIEVEMENT_COMING_TITLE,Coming soon at May,5月開放！敬請期待,敬待5月！正式開放,
sticker_header_detail,Sticker Package,貼圖包,贴图包,
sticker_create_limit,30 stickers maximum,最多 30 張貼圖,最多 30 张贴图,
sticker_create_pack_fail,Create new sticker package failed,未能新增貼圖包,未能新增贴图包,
sticker_create_fail,Create new sticker failed,未能新增貼圖,未能新增贴图,
other_device_login,"The user was logged in on other device, do you want to enable the chat?",此用戶有其他手機登入，需要重開啟用聊天功能嗎？,此用户有其他手机登入，需要重开启用聊天功能吗？,
,,,,
send_failed,,發佈失敗,,
,,,,
date_format_yyyymmdd,yyyy-MM-dd,yyyy年MM月dd日,yyyy年MM月dd日,
date_format_yyyymmddhhmm,yyyy-MM-dd HH:mm,yyyy年MM月dd日 HH:mm,yyyy年MM月dd日 HH:mm,
cancel_like_suc,cancel like post success,取消點贊成功,取消点赞成功,
cancel_like_fail,cancel like post failed,取消點贊失敗,取消点赞失败,
hide_post,Hide post,隱藏貼圖,隐藏贴图,
,,,,
ACH_DAILY_MISSION,Daily Mission,每日任務,每日任务,
ACH_NOVICE_MISSION,Novice Mission,新手任務,新手任务,
ACH_COMPLETE_MISSION,Completed,已完成,已完成,
TEACHING_PAGE_TITLE,How To Use,新手教學,新手教学,
COM_NETWORK_DISABLE,Current Network is not work!,当前网络不可用,網絡出現故障,
COM_NETWORK_WIFI,Network change to Wifi,当前处于 wifi 网络,當前處於 wifi 網絡,
COM_NETWORK_MOBILE,Network change to Cellular Data,当前使用手机流量,當前處於移動蜂窩網絡,
COMPLETED_MISSIONS,,已完成任务,,
